Land;Stadt;Kategorie;Merkmal;Jahr;ledig;verheiratet;verwitwet;geschieden
de-sh;Kiel;Bevölkerung;Familienstand;1988;96591;100165;22986;15219
de-sh;Kiel;Bevölkerung;Familienstand;1989;98904;102588;22615;15410
de-sh;Kiel;Bevölkerung;Familienstand;1990;100902;102943;22338;15568
de-sh;Kiel;Bevölkerung;Familienstand;1991;102717;100660;22001;15577
de-sh;Kiel;Bevölkerung;Familienstand;1992;104781;103256;21625;15641
de-sh;Kiel;Bevölkerung;Familienstand;1994;104680;101061;20715;16120
de-sh;Kiel;Bevölkerung;Familienstand;1995;105311;99892;20343;16503
de-sh;Kiel;Bevölkerung;Familienstand;1996;104761;95736;19883;16765
de-sh;Kiel;Bevölkerung;Familienstand;1997;104019;93987;19540;17086
de-sh;Kiel;Bevölkerung;Familienstand;1998;103037;94563;19015;17364
de-sh;Kiel;Bevölkerung;Familienstand;1999;101402;93038;18480;17530
de-sh;Kiel;Bevölkerung;Familienstand;2000;101292;91858;18058;17823
de-sh;Kiel;Bevölkerung;Familienstand;2001;102367;91181;17631;18041
de-sh;Kiel;Bevölkerung;Familienstand;2002;103541;90509;17290;18411
de-sh;Kiel;Bevölkerung;Familienstand;2003;104612;89475;16984;18830
de-sh;Kiel;Bevölkerung;Familienstand;2004;105863;88292;16629;19249
de-sh;Kiel;Bevölkerung;Familienstand;2005;107484;87656;16277;19480
de-sh;Kiel;Bevölkerung;Familienstand;2006;109548;87045;15946;19801
de-sh;Kiel;Bevölkerung;Familienstand;2007;111385;86583;15690;20043
de-sh;Kiel;Bevölkerung;Familienstand;2008;112495;86005;15453;20314
de-sh;Kiel;Bevölkerung;Familienstand;2009;114072;85465;15236;20491
de-sh;Kiel;Bevölkerung;Familienstand;2010;115331;84907;15021;20749
de-sh;Kiel;Bevölkerung;Familienstand;2011;117595;84075;14829;21085
de-sh;Kiel;Bevölkerung;Familienstand;2012;119887;83386;14648;21399
de-sh;Kiel;Bevölkerung;Familienstand;2013;121811;82511;14564;21413
de-sh;Kiel;Bevölkerung;Familienstand;2014;124168;82239;14443;21490
de-sh;Kiel;Bevölkerung;Familienstand;2015;128109;82360;14335;21465
de-sh;Kiel;Bevölkerung;Familienstand;2016;130806;82526;14206;21485
de-sh;Kiel;Bevölkerung;Familienstand;2017;131482;82168;14133;21407
